Machine_ID,Machine_Type,Processing_Time_Min,Waiting_Time_Min,Downtime_Min,Throughput_Units,Worker_Count,Machine_Utilization_Percent,Defect_Rate_Percent,Energy_Consumption_kWh,Bottleneck_Score,Factory_Health_Score
H31774,H,58.57,18.02,9.95,60.39,3,96.02,1.57,134.16,34.3,78.71
M17221,M,55.18,13.97,5.2,74.56,3,97.92,1.71,103.42,27.21,82.46
H31776,H,56.89,15.71,11.35,68.14,4,95.46,1.79,113.2,30.43,80.08
L49543,L,57.18,17.11,9.6,66.94,5,96.16,1.92,121.0,33.11,78.65
L49544,L,59.34,18.34,11.7,59.13,2,95.32,1.97,126.72,35.39,77.19
L49545,L,52.43,11.8,8.8,86.35,3,96.48,2.03,82.7,23.74,83.2
L49546,L,57.73,17.42,12.9,65.54,4,94.84,2.08,119.1,33.86,77.62
M17227,M,57.63,16.25,6.0,66.68,4,97.6,2.13,108.72,31.84,79.21
M17228,M,58.12,17.19,4.15,64.81,6,98.34,2.21,113.76,33.62,78.35
M17229,M,52.57,12.56,13.3,86.52,6,94.68,2.29,82.52,25.42,81.37
L49550,L,56.09,15.64,10.45,73.18,5,95.82,2.37,100.6,31.06,78.68
L49551,L,59.22,18.48,12.55,61.21,3,94.98,2.43,117.78,36.21,75.79
M17232,M,59.36,19.79,11.65,60.31,7,95.34,2.48,126.88,38.62,74.56
L49553,L,60.23,20.5,13.8,57.25,7,94.48,2.56,129.6,40.01,73.5
M17234,M,57.56,17.34,8.9,68.23,5,96.44,2.61,106.76,34.4,76.68
M17235,M,58.55,16.26,12.05,65.67,4,95.18,2.69,94.92,32.56,77.13
M17236,M,60.27,21.27,10.2,57.57,6,95.92,2.77,130.88,41.65,72.61
M17237,M,57.19,19.94,7.35,69.13,7,97.06,2.85,122.64,39.36,73.88
L49558,L,60.68,22.83,10.5,55.99,3,95.8,2.93,139.16,44.64,70.76
H31793,H,59.26,20.48,6.6,62.26,3,97.36,2.99,121.2,40.51,73.11
L49560,L,62.43,24.58,5.85,49.81,5,97.66,3.12,146.64,48.03,69.16
L49561,L,58.84,18.24,9.95,65.53,5,96.02,3.17,99.66,36.74,74.29
L49562,L,57.33,17.53,11.05,71.28,2,95.58,3.23,94.82,35.52,74.68
L49563,L,57.87,18.16,7.15,69.32,3,97.14,3.28,97.96,36.73,74.36
M17244,M,58.83,19.5,7.25,65.55,6,97.1,3.33,106.12,39.19,73.01
L49565,L,58.66,18.76,13.4,66.82,2,94.64,3.41,98.68,37.97,72.85
L49566,L,58.44,19.88,6.5,67.21,2,97.4,3.47,106.66,40.03,72.4
M17247,M,59.51,22.36,14.6,62.52,3,94.16,3.52,123.88,44.55,69.22
M17248,M,58.84,20.12,7.75,66.24,4,96.9,3.6,105.12,40.65,71.7
L49569,L,53.97,17.79,12.9,84.46,5,94.84,3.68,91.34,36.56,73.07
L49570,L,59.56,21.5,12.0,63.6,7,95.2,3.73,112.14,43.28,69.69
L49571,L,58.26,19.51,15.1,69.24,7,93.96,3.79,96.8,39.78,71.02
L49572,L,61.82,24.02,8.2,54.99,3,96.72,3.84,126.8,47.93,67.53
L49573,L,58.91,22.08,11.3,66.16,7,95.48,3.89,114.08,44.53,68.82
L49574,L,59.78,21.92,9.4,63.44,6,96.24,3.95,110.36,44.3,69.02
M17255,M,56.15,19.23,13.5,77.49,3,94.6,4.0,92.64,39.54,70.88
M17256,M,58.42,20.79,10.65,69.2,7,95.74,4.08,100.24,42.45,69.55
L49577,L,58.66,22.18,7.8,68.01,4,96.88,4.16,109.24,45.04,68.38
L49578,L,60.05,23.44,9.9,62.78,5,96.04,4.21,116.2,47.37,66.9
M17259,M,58.6,21.75,13.0,68.82,5,94.8,4.27,103.48,44.41,67.96
H31814,H,60.61,26.79,16.15,59.7,5,93.54,4.35,139.24,53.54,62.92
M17261,M,62.14,25.34,9.4,55.68,4,96.24,4.48,122.54,51.11,64.54
L49582,L,62.85,26.43,16.55,53.04,3,93.38,4.56,128.5,53.17,62.64
H31817,H,61.12,26.69,9.65,59.06,6,96.14,4.61,131.76,53.7,62.96
M17264,M,53.12,19.32,17.9,90.74,2,92.84,4.75,80.76,40.65,68.39
L49585,L,60.63,24.2,9.05,62.8,4,96.38,4.83,107.76,49.52,64.68
L49586,L,61.58,25.04,18.15,59.33,2,92.74,4.88,111.94,51.09,62.88
M17267,M,60.73,26.08,17.25,61.91,2,93.1,4.93,120.18,53.01,61.9
L49588,L,62.9,28.19,14.4,53.7,6,94.24,5.01,132.32,56.9,60.08
L49589,L,60.3,26.9,12.5,63.5,3,95.0,5.07,124.38,54.66,61.29
L49590,L,58.18,23.38,16.6,72.76,5,93.36,5.12,97.98,48.42,63.89
L49591,L,60.13,25.04,11.7,65.43,6,95.32,5.17,107.38,51.47,62.75
L49592,L,62.39,27.36,15.8,56.72,5,93.68,5.23,121.56,55.68,60.13
L49593,L,55.49,21.59,16.9,83.5,5,93.24,5.28,83.72,45.41,65.04
L49594,L,56.41,10.85,9.0,65.32,3,96.4,0.0,115.1,19.45,89.38
M17275,M,53.96,9.06,7.1,74.82,2,97.16,0.05,102.94,16.31,91.03
L49596,L,54.29,10.05,7.25,73.52,6,97.1,0.13,108.62,18.18,89.92
L49597,L,54.27,9.71,2.35,73.94,4,99.06,0.19,104.72,17.64,90.57
L49598,L,53.11,9.32,8.45,78.34,3,96.62,0.24,102.0,17.01,90.17
M17279,M,58.0,13.18,3.55,59.81,7,98.58,0.29,124.96,24.0,87.06
H31834,H,56.32,12.3,4.7,66.35,5,98.12,0.37,118.4,22.51,87.53
L49601,L,42.88,5.27,2.95,116.56,7,98.82,0.51,77.68,10.09,93.65
L49602,L,56.63,15.03,2.05,64.64,5,99.18,0.56,135.66,27.65,84.85
M17283,M,48.26,6.84,4.15,97.68,7,98.34,0.61,80.44,13.04,91.84
L49604,L,51.18,8.03,6.3,87.38,5,97.48,0.69,84.16,15.27,90.35
L49605,L,56.42,15.62,7.4,65.79,3,97.04,0.75,136.44,28.94,83.3
M17286,M,57.93,33.3,31.5,51.95,6,87.4,3.8,154.64,56.12,61.19
L49607,L,50.99,8.59,7.65,88.46,3,96.94,0.88,84.7,16.52,89.22
M17288,M,58.01,14.6,4.75,61.55,2,98.1,0.93,121.94,27.36,83.98
L49609,L,57.3,15.26,9.9,63.97,5,96.04,1.01,126.44,28.65,82.66
M17290,M,58.77,15.15,10.0,59.18,2,96.0,1.07,122.3,28.51,82.61
M17291,M,57.75,16.26,7.15,62.42,4,97.14,1.15,130.82,30.61,81.69
L49612,L,56.4,14.56,8.3,68.22,4,96.68,1.23,117.2,27.65,82.89
L49613,L,57.47,14.84,11.4,64.63,3,95.44,1.28,116.82,28.23,82.19
M17294,M,58.74,14.68,5.5,60.56,5,97.8,1.33,112.56,28.0,82.78
L49615,L,54.05,11.84,4.65,78.38,6,98.14,1.41,94.52,23.02,85.2
H31850,H,54.46,12.0,3.75,77.1,3,98.5,1.47,94.04,23.37,85.01
L49617,L,58.05,14.82,12.0,63.89,3,95.2,1.6,108.72,28.61,81.3
M17298,M,59.5,18.36,9.1,57.32,7,96.36,1.65,133.8,35.01,78.28
L49619,L,54.31,13.1,11.25,78.1,3,95.5,1.73,97.06,25.68,82.57
L49620,L,58.26,17.34,7.35,62.63,5,97.06,1.79,124.32,33.34,79.02
L49621,L,54.68,13.27,3.45,77.16,7,98.62,1.84,95.52,26.12,82.91
M17302,M,59.74,18.6,5.55,57.3,4,97.78,1.89,130.04,35.75,77.78
L49623,L,55.25,14.67,12.7,75.02,7,94.92,1.97,102.94,28.8,80.38
L49624,L,60.84,38.13,33.8,44.28,5,86.48,5.03,161.74,66.34,53.4
H31859,H,59.33,20.02,3.9,58.74,5,98.44,2.08,137.7,38.52,76.19
L49626,L,58.79,18.87,7.15,61.67,3,97.14,2.21,126.24,36.63,76.54
L49627,L,59.06,18.98,8.25,60.91,7,96.7,2.27,125.56,36.89,76.2
L49628,L,58.65,17.58,4.35,63.21,6,98.26,2.32,113.8,34.47,77.69
L49629,L,53.88,13.42,6.45,81.89,7,97.42,2.37,85.84,27.07,81.07
L49630,L,58.02,16.73,12.55,66.24,7,94.98,2.43,105.44,33.07,77.36
L49631,L,55.78,15.07,10.65,74.97,3,95.74,2.48,94.0,30.16,78.9
M17312,M,45.96,11.25,11.75,110.82,7,95.3,2.53,75.78,23.38,82.07
L49633,L,55.96,15.54,12.9,74.63,5,94.84,2.61,94.56,31.18,77.9
L49634,L,55.94,15.92,14.0,74.69,6,94.4,2.67,96.46,31.93,77.3
L49635,L,51.74,13.74,12.1,90.43,5,95.16,2.72,83.52,28.08,79.31
L49636,L,57.49,17.47,12.2,69.02,6,95.12,2.77,104.3,34.84,75.81
L49637,L,56.01,16.53,13.3,74.78,7,94.68,2.83,97.62,33.22,76.41
L49638,L,59.37,20.12,10.4,61.64,6,95.84,2.88,120.48,39.72,73.34
L49639,L,61.42,22.35,14.5,53.68,7,94.2,2.93,134.34,43.79,70.79
L49640,L,59.02,20.56,14.6,63.02,7,94.16,2.99,122.12,40.65,72.24
M17321,M,58.34,19.07,11.7,66.32,3,95.32,3.04,109.94,38.05,73.73
L49642,L,55.16,17.98,13.85,78.11,7,94.46,3.12,103.84,36.2,74.27
L49643,L,57.57,19.3,13.95,69.35,2,94.42,3.17,109.8,38.62,72.95
M17324,M,58.3,20.4,11.05,66.5,7,95.58,3.23,116.48,40.68,72.1
L49645,L,59.17,20.1,8.2,64.0,4,96.72,3.31,111.02,40.22,72.46
L49646,L,59.98,19.51,7.3,61.7,7,97.08,3.36,103.98,39.23,72.93
M17327,M,57.93,18.62,15.4,69.39,7,93.84,3.41,98.48,37.7,72.78
M17328,M,58.75,20.58,9.55,65.91,6,96.18,3.49,111.28,41.33,71.39
L49649,L,59.09,20.1,15.7,65.3,4,93.72,3.57,105.14,40.56,71.0
L49650,L,59.73,22.06,8.8,62.32,4,96.48,3.63,118.74,44.14,69.8
L49651,L,62.2,23.82,7.9,53.14,6,96.84,3.68,128.22,47.36,68.17
L49652,L,60.4,24.98,16.0,58.96,5,93.6,3.73,138.78,49.51,66.18
M17333,M,58.63,20.76,12.1,67.37,6,95.16,3.79,106.3,42.02,70.2
L49654,L,59.48,21.75,10.25,64.28,6,95.9,3.87,111.26,43.9,69.29
L49655,L,60.18,22.54,11.35,61.68,2,95.46,3.92,115.38,45.37,68.34
H31890,H,60.38,22.52,16.45,61.19,6,93.42,3.97,113.78,45.42,67.7
L49657,L,61.43,26.64,12.7,56.03,7,94.92,4.11,142.34,52.98,64.03
M17338,M,60.49,24.98,12.8,60.31,2,94.88,4.16,129.12,50.06,65.37
L49659,L,58.43,21.4,10.95,69.5,2,95.62,4.24,101.48,43.74,68.56
L49660,L,56.59,20.98,11.05,76.21,7,95.58,4.29,99.48,43.06,68.78
L49661,L,61.83,24.99,16.15,56.4,6,93.54,4.35,123.16,50.32,64.53
L49662,L,60.06,23.65,14.25,63.38,7,94.3,4.4,113.68,47.98,65.78
M17343,M,61.6,25.81,14.35,57.19,2,94.26,4.45,127.64,51.92,63.7
H31898,H,59.92,23.02,14.5,64.69,7,94.2,4.53,105.88,47.03,65.97
L49665,L,59.07,22.88,12.75,68.21,7,94.9,4.67,102.86,46.93,65.92
M17346,M,56.52,21.26,13.85,77.97,4,94.46,4.72,92.24,44.11,67.12
H31901,H,58.78,22.15,17.0,70.08,7,93.2,4.8,94.46,45.8,65.8
L49668,L,62.81,27.48,17.25,54.06,2,93.1,4.93,128.52,55.52,60.65
H31903,H,60.78,25.36,15.35,62.32,2,93.86,4.99,113.2,51.79,62.59
H31904,H,59.97,27.01,11.6,64.8,3,95.36,5.12,124.52,54.92,61.14
L49671,L,61.88,26.61,10.85,58.94,7,95.66,5.25,115.7,54.37,61.22
H31906,H,62.86,30.54,15.95,53.83,7,93.62,5.31,144.64,61.49,57.04
M17353,M,62.48,27.74,14.2,57.03,3,94.32,5.44,119.76,56.65,59.38
L49674,L,63.87,44.96,43.35,43.97,6,82.66,8.52,133.78,83.02,37.11
M17355,M,61.57,26.97,11.45,61.06,5,95.42,5.57,111.82,55.43,60.0
M17356,M,60.47,26.31,13.6,65.5,6,94.56,5.65,106.26,54.34,60.16
M17357,M,61.31,27.78,12.75,62.16,5,94.9,5.73,115.02,57.07,58.72
L49678,L,62.19,29.24,14.9,58.73,3,94.04,5.81,123.74,59.8,56.98
M17359,M,64.32,29.7,13.0,51.4,7,94.8,5.87,123.3,60.69,56.62
L49680,L,60.16,25.92,12.15,67.89,2,95.14,5.95,96.94,54.01,59.89
M17361,M,62.27,28.68,20.25,59.46,7,91.9,6.0,114.92,59.02,56.46
L49682,L,61.79,45.46,46.4,53.02,2,81.44,9.08,128.1,84.64,34.88
L49683,L,56.51,11.8,8.0,64.5,3,96.8,0.0,122.56,21.15,88.62
L49684,L,55.69,11.56,6.1,67.62,3,97.56,0.05,120.56,20.79,88.89
L49685,L,56.93,12.5,4.2,63.1,2,98.32,0.11,125.14,22.53,88.1
M17366,M,55.31,9.16,5.3,70.57,5,97.88,0.16,99.46,16.61,90.84
H31921,H,56.75,12.5,3.45,64.25,5,98.62,0.24,122.4,22.7,87.82
L49688,L,53.92,8.77,2.7,76.36,3,98.92,0.37,93.5,16.19,90.89
L49689,L,55.49,10.26,2.8,70.42,6,98.88,0.43,102.02,18.92,89.41
L49690,L,57.09,14.89,2.9,62.8,3,98.84,0.48,135.7,27.3,85.1
M17371,M,55.39,11.88,9.0,70.36,7,96.4,0.53,112.72,21.96,87.05
L49692,L,55.42,11.42,9.15,70.79,5,96.34,0.61,107.2,21.24,87.24
L49693,L,54.71,10.12,4.25,74.09,2,98.3,0.67,96.66,19.0,88.74
L49694,L,47.7,6.84,4.35,100.03,3,98.26,0.72,78.78,13.17,91.54
L49695,L,56.18,11.07,7.45,68.96,5,97.02,0.77,99.8,20.82,87.3
L49696,L,52.66,9.73,9.55,81.94,4,96.18,0.83,92.72,18.49,88.15
L49697,L,57.69,13.74,1.65,62.88,4,99.34,0.88,116.7,25.75,85.2
M17378,M,57.31,15.2,9.75,63.65,6,96.1,0.93,127.7,28.43,82.94
L49699,L,54.4,11.14,7.9,75.98,7,96.84,1.01,97.42,21.26,86.56
L49700,L,55.86,13.5,5.0,70.0,3,98.0,1.07,113.1,25.55,84.59
L49701,L,55.21,11.96,3.1,73.22,4,98.76,1.12,100.48,22.86,86.02
M17382,M,55.86,13.07,5.2,70.62,6,97.92,1.17,107.26,24.92,84.67
L49703,L,54.61,12.56,2.35,75.47,7,99.06,1.25,103.1,24.11,85.21
M17384,M,57.42,15.3,9.45,64.65,7,96.22,1.31,119.92,29.08,81.9
M17385,M,55.3,12.94,2.6,73.43,2,98.96,1.39,102.16,24.95,84.49
L49706,L,56.8,13.15,3.75,68.47,6,98.5,1.47,100.02,25.43,83.97
L49707,L,57.61,17.26,7.85,63.87,6,96.86,1.52,130.6,32.87,79.74
L49708,L,53.59,11.2,10.95,80.9,4,95.62,1.57,86.4,22.07,84.73
M17389,M,55.97,13.3,7.05,71.9,5,97.18,1.63,98.82,25.92,83.08
L49710,L,57.99,18.05,8.2,62.88,7,96.72,1.71,132.16,34.51,78.51
M17391,M,57.0,14.96,6.3,68.02,7,97.48,1.76,107.6,29.04,81.33
L49712,L,58.85,16.74,12.45,61.08,7,95.02,1.84,117.58,32.35,78.9
L49713,L,57.44,14.08,6.55,67.46,7,97.38,1.89,97.0,27.64,81.74
L49714,L,54.03,12.49,4.65,80.2,4,98.14,1.95,87.78,24.86,83.21
L49715,L,57.49,15.6,7.75,66.95,6,96.9,2.0,106.7,30.5,79.97
L49716,L,60.67,19.63,7.85,54.23,4,96.86,2.05,133.42,37.8,76.21
H31951,H,59.68,18.34,4.95,58.48,7,98.02,2.11,123.26,35.56,77.51
L49718,L,58.72,19.24,4.2,61.83,7,98.32,2.24,128.78,37.34,76.43
L49719,L,59.01,17.4,10.3,61.95,6,95.88,2.29,112.46,34.11,77.33
L49720,L,57.78,16.61,13.4,66.79,2,94.64,2.35,106.64,32.76,77.58
H31955,H,57.1,15.35,7.5,69.98,6,97.0,2.4,96.26,30.56,79.17
H31956,H,54.93,14.2,12.75,78.5,2,94.9,2.53,87.04,28.67,79.32
L49723,L,54.01,13.88,8.0,82.36,4,96.8,2.67,82.72,28.26,79.74
L49724,L,51.67,13.51,5.1,90.8,2,97.96,2.72,81.82,27.67,80.21
M17405,M,57.69,17.4,8.2,68.35,4,96.72,2.77,103.42,34.7,76.28
L49726,L,56.85,17.13,6.35,71.68,7,97.46,2.85,100.7,34.34,76.49
L49727,L,57.3,18.24,7.45,69.78,4,97.02,2.91,107.76,36.4,75.24
M17408,M,59.37,18.26,8.55,62.87,2,96.58,2.96,103.8,36.48,74.98
L49729,L,58.75,19.7,5.7,64.6,4,97.72,3.04,114.38,39.17,73.77
L49730,L,60.6,21.38,10.8,57.61,3,95.68,3.09,124.12,42.25,71.61
L49731,L,58.11,18.74,12.9,67.68,3,94.84,3.15,105.22,37.59,73.62
H31966,H,58.01,19.77,14.0,67.71,6,94.4,3.2,112.44,39.51,72.44
L49733,L,59.31,20.08,11.25,63.61,3,95.5,3.33,110.06,40.22,72.1
L49734,L,58.53,19.63,15.35,66.73,2,93.86,3.39,106.42,39.5,71.94
L49735,L,58.88,19.62,7.45,65.74,2,97.02,3.44,104.62,39.54,72.61
M17416,M,59.84,22.46,10.55,61.22,2,95.78,3.49,124.78,44.69,69.61
M17417,M,60.06,23.22,11.7,60.39,2,95.32,3.57,128.8,46.16,68.6
M17418,M,53.73,16.94,10.85,85.58,4,95.66,3.65,85.42,35.0,74.11
L49739,L,60.14,23.8,11.0,60.45,5,95.6,3.73,129.74,47.4,67.73
M17420,M,61.96,26.86,13.1,52.87,2,94.76,3.79,150.52,52.96,64.64
L49741,L,57.96,19.52,8.25,70.59,5,96.7,3.87,95.54,39.91,71.49
L49742,L,58.84,21.54,12.35,66.78,3,95.06,3.92,109.22,43.58,69.13
L49743,L,59.7,21.22,12.45,64.19,4,95.02,3.97,104.32,43.09,69.27
L49744,L,59.8,21.58,7.55,63.86,4,96.98,4.03,105.86,43.8,69.29
L49745,L,62.61,24.86,13.65,52.77,5,94.54,4.08,127.08,49.75,65.6
M17426,M,60.98,22.8,13.75,59.6,6,94.5,4.13,111.6,46.12,67.3
L49747,L,56.04,18.79,12.9,78.9,5,94.84,4.21,84.52,39.04,70.77
L49748,L,60.7,23.58,16.0,60.71,4,93.6,4.27,115.2,47.68,66.03
H31983,H,54.62,18.61,10.1,84.29,4,95.96,4.32,82.64,38.85,70.93
L49750,L,57.08,19.98,8.35,75.66,6,96.66,4.45,87.26,41.48,69.52
M17431,M,60.28,23.74,16.45,62.98,3,93.42,4.51,111.74,48.29,65.2
M17432,M,62.48,24.94,14.6,55.13,6,94.16,4.59,116.44,50.52,64.1
L49753,L,60.43,24.38,8.75,62.76,7,96.5,4.67,112.98,49.62,64.98
L49754,L,53.61,18.98,13.85,89.11,5,94.46,4.72,78.04,40.03,69.16
L49755,L,61.67,26.62,14.95,57.79,2,94.02,4.77,126.84,53.78,62.07
L49756,L,60.26,24.86,12.05,63.72,4,95.18,4.83,113.46,50.69,63.8
L49757,L,59.74,25.02,17.15,65.64,3,93.14,4.88,114.26,51.04,63.0
L49758,L,62.3,26.45,16.25,56.32,7,93.5,4.93,121.02,53.68,61.67
L49759,L,56.49,21.14,16.35,79.18,5,93.46,4.99,85.3,44.22,66.28
L49760,L,63.85,28.54,11.45,50.38,6,95.42,5.04,133.26,57.57,59.99
L49761,L,63.15,45.46,39.55,44.52,6,84.18,8.09,148.3,83.37,38.18
L49762,L,59.29,23.86,17.65,68.82,2,92.94,5.15,99.7,49.32,63.28
L49763,L,63.32,28.3,11.75,52.95,4,95.3,5.2,128.44,57.34,59.76
L49764,L,61.05,27.44,14.85,61.38,6,94.06,5.25,123.44,55.85,60.08
M17445,M,59.39,24.77,12.95,68.61,5,94.82,5.31,103.2,51.14,62.52
L49766,L,60.69,26.86,11.1,63.42,3,95.56,5.39,116.34,54.99,60.62
L49767,L,50.4,20.52,17.2,102.14,2,93.12,5.44,78.56,43.7,65.55
L49768,L,58.35,23.63,15.3,73.48,2,93.88,5.49,91.32,49.34,62.81
L49769,L,50.49,20.79,17.4,102.1,4,93.04,5.55,78.2,44.32,65.01
L49770,L,56.68,12.15,5.0,63.72,2,98.0,0.0,125.12,21.78,88.61
L49771,L,54.91,11.76,8.1,70.22,6,96.76,0.05,123.24,21.15,88.51
L49772,L,54.72,11.67,7.2,71.12,5,97.12,0.11,121.58,21.05,88.54
H32007,H,56.59,13.98,5.3,63.76,6,97.88,0.16,136.3,25.26,86.52
L49774,L,56.28,10.13,0.55,67.24,4,99.78,0.29,102.92,18.53,90.09
M17455,M,55.76,11.32,0.65,68.64,2,99.74,0.35,111.92,20.72,88.88
L49776,L,56.73,10.93,3.8,65.83,5,98.48,0.43,105.72,20.13,88.7
L49777,L,56.45,11.16,3.9,66.87,7,98.44,0.48,106.78,20.62,88.34
L49778,L,58.39,33.48,39.0,49.26,4,84.4,3.53,161.4,56.1,60.99
M17459,M,56.6,11.66,7.1,66.52,4,97.16,0.59,108.14,21.65,87.29
L49780,L,57.05,13.82,5.25,64.19,7,97.9,0.67,123.04,25.63,85.33
L49781,L,57.45,15.18,9.35,62.36,3,96.26,0.72,132.18,28.13,83.56
L49782,L,57.1,12.7,6.45,65.0,7,97.42,0.77,111.54,23.74,85.94
M17463,M,58.51,14.06,9.55,59.67,7,96.18,0.83,119.28,26.24,84.27
M17464,M,57.86,14.12,10.7,62.19,4,95.72,0.91,118.9,26.46,83.89
L49785,L,55.52,12.31,1.85,71.44,3,99.26,0.99,105.84,23.32,86.18
H32020,H,55.84,12.5,3.95,70.45,5,98.42,1.04,105.68,23.72,85.67
L49787,L,57.25,15.67,11.2,64.57,7,95.52,1.17,126.16,29.58,81.74
L49788,L,57.87,14.86,10.3,63.02,5,95.88,1.23,117.58,28.19,82.42
L49789,L,54.85,12.46,6.4,74.82,2,97.44,1.28,101.42,23.97,84.82
H32024,H,55.98,14.22,2.5,70.24,2,99.0,1.33,112.74,27.19,83.49
L49791,L,50.17,9.93,5.75,92.89,2,97.7,1.47,83.34,19.65,86.66
L49792,L,43.48,8.11,3.85,117.0,4,98.46,1.52,76.82,16.47,88.34
M17473,M,55.91,14.29,4.95,71.4,5,98.02,1.57,108.02,27.62,82.55
L49794,L,55.08,14.16,5.1,74.62,6,97.96,1.65,106.28,27.48,82.44
L49795,L,56.86,14.8,4.2,68.4,6,98.32,1.71,107.72,28.69,81.82
L49796,L,61.41,21.9,11.3,49.4,5,95.48,1.76,157.14,41.5,74.6
L49797,L,54.73,14.42,6.4,76.29,2,97.44,1.81,105.2,28.14,81.66
M17478,M,57.84,17.75,10.5,64.18,4,95.8,1.87,126.42,34.19,78.12
L49799,L,56.35,16.04,6.65,70.43,5,97.34,1.95,112.98,31.22,79.83
L49800,L,56.6,14.92,7.75,70.34,2,96.9,2.0,102.52,29.29,80.58
M17481,M,57.39,16.54,4.85,67.03,3,98.06,2.05,113.12,32.25,79.28
M17482,M,55.5,13.98,4.0,75.11,3,98.4,2.13,93.44,27.76,81.45
M17483,M,60.82,22.16,9.15,53.07,2,96.34,2.21,149.86,42.54,73.39
H32038,H,59.57,18.58,10.3,59.46,2,95.88,2.29,121.1,36.22,76.27
L49805,L,59.37,17.26,7.55,61.32,3,96.98,2.43,107.78,34.01,77.39
L49806,L,55.78,14.89,7.65,75.06,7,96.94,2.48,92.6,29.84,79.35
M17487,M,60.26,20.9,12.75,56.85,6,94.9,2.53,133.32,40.68,73.32
H32042,H,59.42,20.64,11.9,60.18,3,95.24,2.61,130.6,40.32,73.42
L49809,L,57.01,17.69,6.15,70.46,6,97.54,2.75,107.32,35.2,76.29
L49810,L,60.18,18.3,8.25,59.45,5,96.7,2.8,106.64,36.36,75.39
H32045,H,57.96,19.16,14.35,66.87,2,94.26,2.85,115.38,37.97,73.87
M17492,M,56.32,16.11,14.6,74.54,6,94.16,2.99,90.24,32.67,76.23
L49813,L,58.15,19.15,13.75,67.02,6,94.5,3.07,110.24,38.22,73.38
L49814,L,57.89,17.36,9.85,69.02,3,96.06,3.12,95.08,35.08,75.23
H32049,H,59.29,22.27,10.95,61.96,3,95.62,3.17,131.24,43.95,70.58
L49816,L,62.47,25.24,6.2,50.08,5,97.52,3.31,147.68,49.45,68.04
L49817,L,61.95,22.51,15.3,53.45,5,93.88,3.36,125.28,44.61,69.45
L49818,L,55.53,17.12,7.4,78.39,6,97.04,3.41,89.78,35.02,74.93
M17499,M,60.35,22.35,10.5,59.42,2,95.8,3.47,123.84,44.47,69.78
M17500,M,61.02,24.69,12.65,56.26,7,94.94,3.55,139.84,48.76,67.26
H32055,H,60.41,22.56,13.8,59.72,5,94.48,3.63,121.8,45.04,68.85
L49822,L,58.79,21.35,12.05,66.42,3,95.18,3.76,111.44,43.06,69.75
M17503,M,60.9,23.46,8.15,58.32,3,96.74,3.81,124.22,46.91,68.11
L49824,L,59.4,22.3,11.3,64.35,7,95.48,3.89,115.2,44.93,68.62
H32059,H,58.92,21.46,7.4,66.62,5,97.04,3.95,107.94,43.49,69.62
M17506,M,60.44,23.04,8.65,61.13,4,96.54,4.08,115.46,46.48,67.73
L49827,L,61.19,23.88,7.8,58.46,3,96.88,4.16,119.36,48.09,66.85
L49828,L,60.84,25.54,9.9,59.03,4,96.04,4.21,131.92,51.13,65.02
M17509,M,58.78,22.35,14.0,67.92,2,94.4,4.27,108.04,45.48,67.32
L49830,L,63.26,27.86,9.15,50.07,5,96.34,4.35,144.2,55.47,62.66
L49831,L,52.73,18.3,15.25,91.25,6,93.9,4.4,80.96,38.39,70.48
L49832,L,56.22,19.24,16.35,78.98,6,93.46,4.45,82.44,40.14,69.39
L49833,L,56.18,20.05,12.45,78.93,2,95.02,4.51,87.78,41.66,68.91
L49834,L,59.32,22.56,10.55,67.07,3,95.78,4.56,102.34,46.22,66.71
M17515,M,56.71,20.59,14.65,77.26,3,94.14,4.61,89.02,42.77,67.92
L49836,L,62.65,26.9,12.8,54.0,3,94.88,4.69,129.58,54.19,62.24
M17517,M,61.6,24.44,8.9,59.03,6,96.44,4.75,110.1,49.84,64.7
L49838,L,62.13,25.6,18.05,56.95,6,92.78,4.83,116.9,52.03,62.53
H32073,H,59.28,22.66,18.15,68.42,2,92.74,4.88,96.1,46.83,65.01
L49840,L,63.85,29.14,15.4,49.98,5,93.84,5.01,138.62,58.6,59.13
M17521,M,60.74,25.9,14.5,62.5,5,94.2,5.07,115.78,52.86,61.98
M17522,M,61.21,24.96,15.65,61.67,5,93.74,5.15,105.86,51.29,62.5
L49843,L,59.3,23.46,18.8,69.27,7,92.48,5.23,94.6,48.69,63.32
M17524,M,61.3,26.39,16.9,61.15,4,93.24,5.28,114.14,54.01,60.74
L49845,L,50.2,20.06,10.05,102.77,7,95.98,5.36,76.92,42.76,66.89
H32080,H,58.48,23.17,14.15,72.97,5,94.34,5.41,89.22,48.4,63.56
M17527,M,59.04,25.44,17.4,70.43,4,93.04,5.55,103.66,52.65,60.84
M17528,M,59.46,24.66,17.55,69.67,5,92.98,5.63,95.0,51.34,61.32
H32083,H,61.68,26.57,14.7,61.42,4,94.12,5.71,105.48,54.88,59.68
L49850,L,62.22,29.07,15.95,58.82,6,93.62,5.84,121.74,59.53,56.96
M17531,M,63.27,43.16,43.05,48.37,4,82.78,8.89,111.78,80.26,37.78
L49852,L,55.97,10.65,5.0,66.92,6,98.0,0.0,114.1,19.09,89.96
L49853,L,55.52,10.38,1.1,68.81,5,99.56,0.05,111.4,18.68,90.44
L49854,L,54.62,9.62,5.2,72.49,7,97.92,0.11,105.32,17.38,90.58
